,Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Found Terms,Full term name
34,AVES,FALCONIFORMES,FALCONIDAE,Falco,Falco peregrinus,,LIV,0,2,1,1,0,2,5,4,5,0,0,4,8,4,19,15,22,31,26,29,62,17,37,28,35,52,44,5,14,11,11,7,10,9,20,10,12,19,10,12,LIV,live
35,AVES,FALCONIFORMES,FALCONIDAE,Falco,Falco tinnunculus,,LIV,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,4,1,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,LIV,live
36,REPTILIA,SAURIA,IGUANIDAE,Iguana,Iguana iguana,,LIV,0,0,994,16056,5327,10280,3074,1968,2618,8834,6377,3478,8325,15588,14248,11825,13258,23765,33425,50809,67256,86402,104250,114838,120470,136543,108820,140897,164570,152729,125087,134735,86238,77155,67847,44807,38699,37521,26552,27429,LIV,live
37,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python regius,,LIV,0,21,217,1184,2121,3029,1970,2547,2547,2904,5069,4655,3852,7697,8920,9761,10525,8776,11485,13639,14955,12931,14815,21551,29631,28059,30571,36533,45829,43195,51644,55781,59151,62122,51540,37085,42399,34585,34736,22186,LIV,live
38,REPTILIA,SERPENTES,ELAPIDAE,Naja,Naja naja,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,0,822,863,2212,6655,3896,2477,3000,16,0,643,0,9,45,1051,225,835,893,1094,281,594,201,1910,1604,694,0,720,3,61,50,0,0,LEA+LPL+LPS+SHO+SKO,leather products and items
39,BIVALVIA,VENERIDA,TRIDACNIDAE,Tridacna,Tridacna maxima,,SHE,0,0,0,0,0,0,0,0,0,0,0,0,0,273,3827,2072,2349,1,66,50,356,4375,6280,508,257,2591,3499,1,3570,2034,3,4,2,300,301,0,0,0,402,2,SHE,shells
40,MAMMALIA,CARNIVORA,URSIDAE,Ursus,Ursus arctos,,SKI,0,0,68,68,79,221,69,68,62,53,205,49,51,72,45,31,20,195,66,37,51,177,72,81,62,64,42,55,46,21,21,14,11,19,5,8,8,21,11,9,SKI,skins
41,REPTILIA,CROCODYLIA,ALLIGATORIDAE,Alligator ,Alligator mississippiensis,,SKU,0,0,0,0,0,20,0,0,0,0,0,0,0,5,1,1,1,1,43,10,0,85,2,8,11,8,12,2,0,10,5,1,33,10,1,22,0,20,0,1,SKU,skuls
42,MAMMALIA,ARTIODACTYLA,HIPPOPOTAMIDAE,Hippopotamus,Hippopotamus amphibius,,TEE+TUS,0,0,0,0,0,0,0,0,0,6,3,18,81,172,129,535,2119,741,10293,3582,2773,3365,3549,5836,5264,2787,4145,2752,1096,1316,2230,1531,551,1319,2119,844,1140,938,677,361,TEE+TUS,teeth and tusks
43,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter ,Accipiter nisus,,BOD,0,0,0,0,0,18,0,158,116,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,7,0,BOD,bodies
44,AVES,STRIGIFORMES,STRIGIDAE,Strix,Strix aluco,,BOD,0,0,0,0,0,5,0,105,8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,1,0,0,5,0,BOD,bodies
45,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Elephas,Elephas maximus,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,0,142,0,0,8,8,1,6,0,2,0,3,0,0,5,1,0,21,13,135,169,28,77,116,58,125,100,31,340,292,845,280,113,225,107,369,186,161,181,80,CAR+IVC+IVP+IVS+PKY+TUS,tusks & ivory products
46,MAMMALIA,CARNIVORA,CANIDAE,Canis,Canis lupus,,BEL+GAR+HAN+LEA+LPL+LPS+SKO,0,0,31,0,1,11,7,3,0,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,1,0,0,0,2,0,0,GAR+LEA+LPL+LPS+SKO,leather products and items
47,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,Amazona ochrocephala,,LIV,0,0,0,0,0,0,417,2250,273,1611,956,1247,348,545,495,1302,664,696,429,210,640,1248,1182,918,1334,1167,1161,807,836,1037,538,3,2,18,20,2,14,3,2,1,LIV,live
48,AVES,PSITTACIFORMES,PSITTACIDAE,Cacatua,Cacatua sulphurea,,LIV,0,0,0,0,0,0,258,944,1139,1059,2373,2232,3176,4263,5412,1714,311,318,280,145,122,108,102,320,162,179,197,132,199,76,95,1,2,3,6,0,8,2,4,1,LIV,live
49,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo marginata,,LIV,0,0,0,0,0,0,0,5,0,0,0,0,0,10,16,0,0,0,0,37,22,2,5,6,0,35,12,64,5,19,0,50,242,702,270,220,4,189,420,40,LIV,live
50,AVES,STRIGIFORMES,TYTONIDAE,Tyto ,Tyto alba,,LIV,0,0,0,0,0,0,0,0,0,0,0,6,19,32,26,4,2,0,10,6,0,0,7,0,0,0,0,4,0,0,0,0,5,0,2,0,0,0,0,0,LIV,live
51,REPTILIA,SAURIA,VARANIDAE,Varanus,Varanus salvator,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,446,3700,460,13,746,51892,73386,123026,48136,63099,198244,263615,68758,64771,5634,927,5061,19261,7685,10516,50451,39498,41554,97036,70275,8948,10857,47783,20793,20314,16301,13172,12943.5,18800,13465,10213.16667,LEA+LPL+LPS+SHO+SKO,leather products and items
52,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,Leopardus pardalis,,SKI,0,4570,15398,27308,15284,30241,17040,3199,2502,4179,14,357,50,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SKI,skins
