,Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
36,REPTILIA,SAURIA,IGUANIDAE,Iguana,Iguana iguana,,LIV,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
37,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python regius,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
38,REPTILIA,SERPENTES,ELAPIDAE,Naja,Naja naja,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,,,,,,,,,,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
39,BIVALVIA,VENERIDA,TRIDACNIDAE,Tridacna,Tridacna maxima,,SHE,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
40,MAMMALIA,CARNIVORA,URSIDAE,Ursus,Ursus arctos,,SKI,I/II,I/II,I/II,I/II,II,II,II,II,II,II,II,II,II,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
41,REPTILIA,CROCODYLIA,ALLIGATORIDAE,Alligator ,Alligator mississippiensis,,SKU,I,I,I,I,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
42,MAMMALIA,ARTIODACTYLA,HIPPOPOTAMIDAE,Hippopotamus,Hippopotamus amphibius,,TEE+TUS,,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
43,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter ,Accipiter nisus,,BOD,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
44,AVES,STRIGIFORMES,STRIGIDAE,Strix,Strix aluco,,BOD,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
45,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Elephas,Elephas maximus,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
