,Order,Family,Genus,Taxon,Unit,Term,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
113,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,BOD,0,0,0,0,0,0,0,1,1,1,3,2,0,1,1,3,0,3,7,2,3,3,2,2,1,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0
114,Crocodylia,Crocodylidae,Crocodylus,Crocodylus siamensis,,BOD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,5,0,2,2,7,2,1,1,1,3,3,11,18,2,4
115,Carnivora,Ursidae,Ursus,Ursus americanus,,CLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,50,0,0,20,22,2,2327,1,40,17,2,0,22,7997,19,5,5,142,73,26,21,0
116,Sauria,Iguanidae,Iguana,Iguana iguana,,EGG,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,14,38,0,0,0,7,210,5,500,0,20,0,0,80,0,131,266,241,113,175,332,332,367,42,198
117,Psittaciformes,Psittacidae,Ara,Ara ararauna,,FEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,4,2,0,0,0,15,6,58,23,20,3,15,3,243,90,26,27,9,52,43
118,Psittaciformes,Psittacidae,Ara,Ara macao,,FEA,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,24,0,14,0,3,0,0,35,2,0,0,53,48,14,47,5,0,227,12,53,18,12,24,69
119,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,FOO,0,0,0,0,0,0,0,0,1,0,9,2,0,1,0,2,2,0,2,0,0,1,0,2,2,0,0,0,4,1,0,0,0,6,9,5,2,7,19,5
120,Psittaciformes,Psittacidae,Amazona,Amazona aestiva,,LIV,0,0,0,0,0,0,0,0,0,0,4,4,3,4,7,2,4,3,0,2,0,0,2,2,1,2,2,0,0,0,1,2,1,0,1,2,0,0,0,0
121,Psittaciformes,Psittacidae,Amazona,Amazona amazonica,,LIV,0,0,0,0,0,0,0,0,0,0,9,2,0,2,1,4,201,3,1,0,0,7,3,0,4,0,1,2,0,2,0,1,0,0,1,1,0,0,1,1
122,Caryophyllales,Cactaceae,Echinocereus,Echinocereus pectinatus,,LIV,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,21,0,1,4,0,6,18,10,12,50,12,4,18,18,8,4,1,1,0,1,0,0,0
123,Crocodylia,Crocodylidae,Crocodylus,Crocodylus siamensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,3,0,0,2,13,4,4,1,1,0,0,0,0,0,0,0,0,14,0,3,9,28,6,20,29,78,5,152,44,30,20,23,26
124,Serpentes,Pythonidae,Python,Python regius,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,10,100,6,3,47,42,20,46,24.5,14,12,3,5,0,0,0,0,14,0,0,1,0,3,5,0,2,0,1,2,2,2,0
125,Sauria,Iguanidae,Iguana,Iguana iguana,KIL,MEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,0,0,0,9,3,0,29,16,71,3,2,5,19,35,339.659,58.962,21,17,12.8,12.39,68.64
126,Veneroida,Tridacnidae,Tridacna,Tridacna maxima,,SHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,3,5,0,4,0,4,4,5,0,2,0,0,14,7,4,3,6,2,0,110,1,1
127,Serpentes,Boidae,Boa,Boa constrictor,,SKI+SKP,0,0,0,0,0,0,0,0,0,2,0,1,95,4,42,9,5,2,14,329,4,3,3,0,1,0,4,0,0,4,0,0,9,4,0,3,0,0,1,1
128,Testudines,Cheloniidae,Chelonia,Chelonia mydas,,BEL+CAR+HAN+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,62,212,51,18,52,190,48,63,98.5,141,63,51,3,9,0,0,1,5,1,3,2,0,0,1,1,7,5,0,3,0,2,6,2
129,Artiodactyla,Camelidae,Vicugna,Vicugna vicugna,,GAR,0,0,0,0,0,0,0,0,0,2,5,3,1,0,0,1,0,0,0,0,0,6,2,0,0,0,1,10,0,0,0,19,13,5,24,14,46,12,38,8
130,Caryophyllales,Cactaceae,Pachycereus,Pachycereus marginatus,,LIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,11,0,7,4,10,10,8,8,10,3,9,6,8,8,19,0,3,0,0,0,0,600,0
131,Caryophyllales,Cactaceae,Stenocereus,Stenocereus thurberi,,LIV,0,0,0,0,0,0,0,0,0,75,0,0,1,0,0,7,6,0,0,0,0,0,0,7,9,10,6,17,9,11,2,19,1,6,3,2,0,0,1,0
132,Veneroida,Tridacnidae,Tridacna,Tridacna maxima,,LIV,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,30,100,73,0,2,0,2,0,1,0,0,18,0,20,27,1195,196,1,776,73,197,503
133,Sauria,Varanidae,Varanus,Varanus exanthematicus,,LIV,0,0,0,0,0,0,0,0,3,0,37,0,300,0,0,32,1,4,149,0,155,0,3,315,0,0,0,0,1,0,3,3,0,0,364,0,135,123,1270,100
134,Sauria,Teiidae,Tupinambis,Tupinambis teguixin,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,492,233,1292,96,501,384,976,3018.5,7357,12,27,43.5,3,13,62,0,25,0,57,6,0,0,0,3,0,0,550,0,0,8,1,1
135,Testudines,Cheloniidae,Chelonia,Chelonia mydas,KIL,MEA,0,0,0,0,0,0,0,6047.849,0,0,0,91,322,192,103,65,27,2,15,0,0,0,0,0,4,0,1,0,0,7,0,1,4,5,1,0,0,1.28,3.5,0
136,Testudines,Cheloniidae,Chelonia,Chelonia mydas,,SHO,0,0,0,0,0,0,0,17,46,19,4,23,107,31,58,76.5,132,57,26,2,4,0,0,0,2,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0
138,Carnivora,Ursidae,Ursus,Ursus arctos,,TRO,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,3,0,1,12,2,0,4,0,2,4,1,2,0,0,0,0,0,1,6,0,1,19,1,1,0
140,Crocodylia,Crocodylidae,Crocodylus,Crocodylus porosus,,BOD,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,3,2,5,2,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1,0,3,0
141,Carnivora,Ursidae,Ursus,Ursus arctos,,CLA,0,0,0,0,0,0,0,0,0,0,0,0,0,1670,0,0,0,0,0,7,1,6,4,0,9,3,1,6,9,0,5,0,0,1,6,0,1,2,8,24
142,Carnivora,Felidae,Prionailurus,Prionailurus bengalensis,,BEL+GAR+HAN+LEA+LPL+LPS+SKO,0,0,0,0,0,0,0,3,2,2,0,0,27,0,4,1,0,0,0,0,0,1,2,0,3,5,0,0,0,4,5,3,0,6,2,1,0,0,0,12
143,Liliales,Agavaceae,Agave,Agave victoriae-reginae,,LIV,0,0,0,0,0,0,0,0,0,0,4,4,2,5,13,2,6,10,12,0,5,1,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,6,0,1
147,Carnivora,Ursidae,Ursus,Ursus americanus,KIL,MEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,105,69,35,6,23,1,17,0,3,29.454,113,137,73,54,6.6,18
