,Class,Order,Family,Genus,Taxon,Unit,Term,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,Found Terms
17,REPTILIA,CROCODYLIA,ALLIGATORIDAE,Alligator ,Alligator mississippiensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,20,73,64,554,39,30,55,458,27,41,LPL+LPS
18,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus niloticus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,89,20,25,11,9,10,2474,43,3,8,LPL+LPS
19,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus porosus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,7,3,2,3,7,58,2,4,1,1,LPL+LPS
22,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Panax,Panax quinquefolius,,ROO,32,54,33,18,255,23,22,204,16,22,ROO
23,GASTROPODA,NEOTAENIOGLOSSA,STROMBIDAE,Strombus,Strombus gigas,,SHE,331,345,223,325,158,61,75,2070,186,171,SHE
24,MAMMALIA,CARNIVORA,CANIDAE,Canis,Canis lupus,,SKI,3,14,7,6,56,9,7,11,4,8,SKI
25,MAMMALIA,CARNIVORA,FELIDAE,Panthera,Panthera pardus,,PLA+SKI,9,2,1,12,2,4,1,4,2,8,SKI
28,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter ,Accipiter gentilis,,BOD,3,3,2,0,7,1,1,2,3,2,BOD
29,REPTILIA,SERPENTES,COLUBRIDAE,Xenochrophis,Xenochrophis piscator,,BOD,31,7,22,0,4,25,29,9,3,3,BOD
30,REPTILIA,SERPENTES,BOIDAE,Acrantophis ,Acrantophis dumerili,,LIV,3,2,11,3,7,1,0,1,5,1,LIV
31,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,Amazona aestiva,,LIV,1,1,1,0,1,1,2,5,1,8,LIV
32,AVES,STRIGIFORMES,STRIGIDAE,Bubo,Bubo bubo,,LIV,1,3,2,14,8,6,2,2,0,7,LIV
33,REPTILIA,SAURIA,CHAMAELEONIDAE,Chamaeleo,Chamaeleo chamaeleon,,LIV,7,6,13,5,2,2,2,3,16,0,LIV
34,AVES,FALCONIFORMES,FALCONIDAE,Falco,Falco peregrinus,,LIV,0,2,1,18,2,12,1,4,5,3,LIV
35,AVES,FALCONIFORMES,FALCONIDAE,Falco,Falco tinnunculus,,LIV,2,1,12,36,6,0,3,2,1,3,LIV
36,REPTILIA,SAURIA,IGUANIDAE,Iguana,Iguana iguana,,LIV,0,505,4,5,3,4,6,2,2,10,LIV
37,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python regius,,LIV,149,3,1,0,2,639,2,18,11,43,LIV
38,REPTILIA,SERPENTES,ELAPIDAE,Naja,Naja naja,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,21,12,6,8,12,8,1864,12,0,4,LPL+LPS
39,BIVALVIA,VENERIDA,TRIDACNIDAE,Tridacna,Tridacna maxima,,SHE,369,38,14,28,1,5,246,1,0,1,SHE
40,MAMMALIA,CARNIVORA,URSIDAE,Ursus,Ursus arctos,,SKI,8,7,17,4,2,2,3,9,0,5,SKI
41,REPTILIA,CROCODYLIA,ALLIGATORIDAE,Alligator ,Alligator mississippiensis,,SKU,3,2,12,5,0,7,5,4,3,1,SKU
42,MAMMALIA,ARTIODACTYLA,HIPPOPOTAMIDAE,Hippopotamus,Hippopotamus amphibius,,TEE+TUS,4,25,2,7,16,16,0,112,15,9,TEE+TUS
43,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter ,Accipiter nisus,,BOD,4,5,4,0,7,1,8,0,5,4,BOD
44,AVES,STRIGIFORMES,STRIGIDAE,Strix,Strix aluco,,BOD,1,2,0,1,9,0,3,1,3,1,BOD
45,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Elephas,Elephas maximus,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,35,72,43,11,7,1,3,18,2,1,CAR+IVP+TUS
46,MAMMALIA,CARNIVORA,CANIDAE,Canis,Canis lupus,,BEL+GAR+HAN+LEA+LPL+LPS+SKO,4,3,2,1,7,0,0,6,1,2,GAR+LPL+LPS
47,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,Amazona ochrocephala,,LIV,3,2,1,2,0,1,1,1,0,3,LIV
48,AVES,PSITTACIFORMES,PSITTACIDAE,Cacatua,Cacatua sulphurea,,LIV,0,1,0,5,2,6,6,2,3,2,LIV
49,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo marginata,,LIV,0,3,4,25,0,11,25,7,55,14,LIV
50,AVES,STRIGIFORMES,TYTONIDAE,Tyto ,Tyto alba,,LIV,14,3,9,40,13,0,3,7,0,4,LIV
51,REPTILIA,SAURIA,VARANIDAE,Varanus,Varanus salvator,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,6,6,16,2,4,7,1,3,LPS
52,MAMMALIA,CARNIVORA,FELIDAE,Leopardus,Leopardus pardalis,,SKI,0,1,8,6,2,2,0,1,1,1,SKI
53,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python reticulatus,,SID+SKD+SKI+SKP,1,2603,178,1,18,87,1,83,11,4,SKI+SKP
54,MAMMALIA,CARNIVORA,URSIDAE,Ursus,Ursus americanus,,SKI,2,1,11,1,2,3,0,3,0,3,SKI
