Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Full term name
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,CLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6387,28321,19270,12258,31018,11637,10841,5626,4720,4791,7901,2399,4630,2590,444,591,4658,304,26233,4627,131,162,211,1817,claws
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,,EGG,0,0,0,0,0,0,0,0,0,0,0,0,114,244,0,0,0,0,24,0,25,153,50,0,0,0,142,0,0,0,0,51,223,0,0,0,0,0,0,0,eggs
AVES,Psittaciformes,Psittacidae,Ara,Ara ararauna,,FEA,0,0,0,0,0,0,0,16,30,5,0,0,0,0,0,0,1,0,0,0,2,0,0,9,0,7,0,0,1,1,20,3,16,193,0,102,21,17,0,16,feathers
AVES,Psittaciformes,Psittacidae,Ara,Ara macao,,FEA,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,55,0,2,0,0,58,43,2,1,445,9,98,160,15,0,50,feathers
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,FOO,0,0,0,15,0,0,28,61,18,72,35,92,50,300,83,9,1,0,1,0,20,0,6,4,2,21,33,31,69,37,59,75,43,166,338,365,272,344,331,318,feet
AVES,Psittaciformes,Psittacidae,Amazona,Amazona aestiva,,LIV,0,0,0,0,0,0,2559,9625,16589,9240,20853,15710,11395,18615,15619,6782,3933,950,46,10,15,18,14,13,20,13,11,14,5,10,11,18,8,7,9,12,10,11,6,14,live
AVES,Psittaciformes,Psittacidae,Amazona,Amazona amazonica,,LIV,0,0,0,0,0,0,9787,9764,11893,12270,5578,7979,2130,7624,4054,2757,4636,2642,163,11,13,126,238,48,175,5,1928,964,13,11,7,56,374,3,39,4,4,4,2,1,live
CARYOPHYLLALES,Caryophyllales,Cactaceae,Echinocereus,Echinocereus pectinatus,,LIV,0,0,0,0,0,400,3129,2283,4653,1478,841,534,1576,96,1446,1607,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,live
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus siamensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,2,6,0,1,0,5,6,8,0,0,0,0,0,0,0,0,0,2,26,1,7,8,5,0,3,0,0,1,0,0,0,0,2,0,leather products & items
REPTILIA,Serpentes,Pythonidae,Python,Python regius,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,10,0,132,289,308,213,280,32,10,0,1,1,1,1,0,0,176.5,42,86,1796,0,0,0,0,20,3,23,6,0,0,0,0,0,0,leather products & items
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,KIL,MEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,2,6,192.5,785,1807.454,1233,1030,2030.148,835,547.454,240.5,0,0,0,0,0,meat
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna maxima,,SHE,0,0,0,0,0,0,0,0,0,0,2387,482,1112,0,3300,196,550,0,0,1,0,0,19,0,1145,1,812,0,37,300,105,162,593,11,2,8,4,71,6,2,shells
REPTILIA,Serpentes,Boidae,Boa,Boa constrictor,,SKI+SKP,0,0,266,9130,11392,23652,54720,6833,6716,10330,18228,11644,8142,458,16,1,1,2,243,0,598,2,1,0,148,27,0,1,2,2,2,4,3,1,0,0,0,0,0,0,skins & skin pieces
REPTILIA,Testudines,Cheloniidae,Chelonia,Chelonia mydas,,BEL+CAR+HAN+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,388,306,71,218,2,30,79,32,31,41,34,22,30,9,0,48.5,27,10,9,8,4,0,2,4,3,18,6,0,1,7,0,0,0,0,0,0,0,leather products & items
MAMMALIA,Artiodactyla,Camelidae,Vicugna,Vicugna vicugna,,GAR,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,151,488,549,243,397,771,802,199,386,755,830,1314,1081,GAR
CARYOPHYLLALES,Caryophyllales,Cactaceae,Pachycereus,Pachycereus marginatus,,LIV,0,0,0,0,0,0,0,0,0,10,0,865,564,615,1445,2842,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,live
CARYOPHYLLALES,Caryophyllales,Cactaceae,Stenocereus,Stenocereus thurberi,,LIV,0,0,0,0,0,6,0,0,50,4003,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,live
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna maxima,,LIV,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,342,3767,3426,5925,7087,8579,7496,22161,24289,28016,29128,24668,33028,27831,30234,18745,25889,33177,22644,30236,28517,29745,25417,33308,37186,live
REPTILIA,Sauria,Varanidae,Varanus,Varanus exanthematicus,,LIV,0,0,9,568,1280,491,993,0,277,619,4626,4175,4592,9347,8734,11740,12548,14335,27727,41439,39276,32378,25351,18668,21297,21915,31343,40647,31113,25833,23032,25582,25018,22475,22318,18478,21020,18888,15453,12877,live
REPTILIA,Sauria,Teiidae,Tupinambis,Tupinambis teguixin,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,44016,68440,133589,193369,0,204025,413913,714606,788286,1429786,1466070,987886,961174,536751,280258,384481,259023.5,313959,180643,65437,371633,201863,5269,10289,4368,5317,9161,904,2074,2701,3827,2030,1825,1013,1419,1227,97,leather products & items
REPTILIA,Testudines,Cheloniidae,Chelonia,Chelonia mydas,KIL,MEA,0,0,0,0,16898.868,0,1.814,0,0,0,0,34,4,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,meat
REPTILIA,Testudines,Cheloniidae,Chelonia,Chelonia mydas,,SHO,0,0,0,33,3,1,117,1,10,15,1,3,9,14,8,0,0,0,43.5,24,8,7,5,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,shoes
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus arctos,,TRO,0,0,3,0,60,89,80,94,105,106,133,113,195,114,109,123,135,181,235,260,199,230,234,252,362,358,381,301,275,315,239,250,287,209,201,151,152,176,158,147,trophies
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus porosus,,BOD,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,2,0,2,2,1,8,4,4,6,2,2,3,1,0,0,0,0,0,0,0,0,bodies
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus arctos,,CLA,0,0,0,0,0,0,0,0,28,0,45,79,104,41,68,106,1941,255,53,45,121,36,12,128,215,192,176,84,311,36,18,33,376,2,61,18,5,4,3,37,claws
MAMMALIA,Carnivora,Felidae,Prionailurus,Prionailurus bengalensis,,BEL+GAR+HAN+LEA+LPL+LPS+SKO,0,0,0,0,0,0,0,0,0,5,7,43,0,0,0,1,0,0,0,1,0,0,3,74,39,39,43,17,366,380,315,92,86,25,19,31,87,179,344,83,leather products & items
LILIALES,Liliales,Agavaceae,Agave,Agave victoriae-reginae,,LIV,0,0,0,0,0,0,0,0,250,840,571,0,1208,255,1697,246,950,300,0,0,2,0,0,0,0,0,0,4,1374,1584,9,29,17,105,30,11,10,5,205,9,live
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,KIL,MEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,18376.15,2566,3988,21359,2619,2362,2636,5738,2227.3,5877,6614,5053,2671.908,5327,5081.908,4029,2298,3806.454,2929.454,2342,5723,3850.454,4702,meat
MAMMALIA,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,,SKI,0,0,0,0,0,0,3,0,0,2,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,skins
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus arctos,,SKI,0,0,0,8,16,29,3,16,14,26,37,58,28,21,18,33,106,81,68,92,15,28,34,26,28,50,72,56,45,48,72,86,112,85,25,22,11,13,35,23,skins
MAMMALIA,Proboscidea,Elephantidae,Elephas,Elephas maximus,,SKP,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,9,20,8,7,4,6,15,0,9,0,0,0,0,0,0,0,skin pieces
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,TEE,0,0,0,0,0,3,2,1,3,13,2,0,134,9,17,0,0,0,0,102,3,0,0,0,2,1,0,0,0,1,6,0,4,14,9,1,2,8,23,23,teeth
AVES,Falconiformes,Accipitridae,Accipiter,Accipiter cooperii,,BOD,0,0,0,0,0,1,0,0,0,0,1,0,2,5,1,0,0,2,1,0,5,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,bodies & carapaces
REPTILIA,Testudines,Cheloniidae,Caretta,Caretta caretta,,BOD+CAP,0,0,0,0,0,14,1,0,0,5,1,2,2,1,0,0,0,0,1,1,0,1,0,0,0,0,8,1,0,0,0,0,1,0,0,6,0,2,2,0,bodies & carapaces
AVES,Falconiformes,Cathartidae,Vultur,Vultur gryphus,,FEA,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,feathers
AVES,Strigiformes,Strigidae,Bubo,Bubo virginianus,,FOO,0,0,0,0,0,0,5,0,0,0,2,2,11,9,1,0,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,feet
MAMMALIA,Carnivora,Mustelidae,Mustela,Mustela sibirica,,BEL+GAR+HAN+LPL+LPS+SHO+SKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,89,10914,101,68908,4058,46,937,90,228,562,170,55,9,27,19,304,9,0,0,1,262,0,0,0,leather products & items
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus novaeguineae,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,245,696,176,490,10093,8911,5005,7183,10590,12031,13886,16157,6417,3834.5,1722,578.5,1334.5,3756,300,480,5,5,2560,2505,2343,5523,1580,3026,5150,5368,3077,1078,1600,4459,906,634,1260,1267,leather products & items
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,,MEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,8,0,78,7,2,135,6,17,3,39,0,0,0,0,0,0,0,meat
GASTROPODA,Mesogastropoda,Strombidae,Strombus,Strombus gigas,KIL,MEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,137,1387673,1749757,2008583,1397137,1589956.35,1965387,2412976,2386687,1942484.499,893078,1113480,1161812.225,847761,953657,1302274.94,1253809.13,1253965.49,1357283.75,1703032.07,1552876.084,meat
MAMMALIA,Carnivora,Mustelidae,Lontra,Lontra canadensis,,SKI+SKP,0,0,2261,2102,678,1229,3799,3647,3721,4240,4475,4894,6815,7024,5213,8357,3372,4709,4999,3530,7280,8833,7433,3884,5605,3312,4147,1778,1510,4492,564,1593,3653,1736,3145,1891,1770,4756,3527.5,3365,skins & skin pieces
MAMMALIA,Carnivora,Felidae,Lynx,Lynx canadensis,,SKI+SKP,0,0,2901,11778,17299,15851,18889,19205,17679,6043,6750,3112,3436,4401,4050,8553,7582,8422,6254,3283,2803,3272,3815,4636,4578,2880,4939,2399,4406,2613,2004,1631,2372,2451,3185,2314,4257,3753,8269,1760,skins & skin pieces
REPTILIA,Sauria,Varanidae,Varanus,Varanus salvator,,SID+SKD+SKI,0,0,6833,34168,55198,113425,680920,0,64428,98901,77745,77452,79003,87049,158077,322465,166547,161583,302191,240716,80168,86585,86775,71756,46152,77479,60721,38680,20862,56903,48603,49473,53649,33999,15516.86,10665.5,24946,40683,32238,45107,"sides, skins & skin pieces"
REPTILIA,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,,SKO,0,0,0,0,0,0,120,4,10,5,9,0,6,27,83,4,3,36,23,49,9,33,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,leather items
REPTILIA,Serpentes,Colubridae,Ptyas,Ptyas mucosus,,SID+SKD+SKI+SKP,0,0,0,0,0,0,0,0,0,91198,1567553,388261,461202,346968,272139,310519,51870,249151,294168,185163,792,27,114,462,605,1660,734,14,196,1288,1502,58,376,1254,2006,2308,327,1032,963,659,"sides, skins & skin pieces"
REPTILIA,Sauria,Varanidae,Varanus,Varanus salvator,,SKP,0,0,0,0,1914,0,6835,0,17660,13687,27104,57652,109948,11967,52854,62288,30880,9751,47066,13363,34077,3651,2735,5598,4299,50451,29939,13680,23668,38976,45003,10897,24628,10475,1417,351,636,1685,386,168,skin pieces
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,TEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2611,3796,3686,4267,1268,578,211,200,6904,7042,6333,6015,6197,7677,10651,4184,6934,6799,8518,5710,4361,3103,2657,teeth
MAMMALIA,Carnivora,Canidae,Canis,Canis lupus,,TRO,0,0,7,4,23,29,51,110,93,69,401,55,78,67,83,83,86,107,163,202,202,228,173,119,259,212,231,301,279,351,382,365,348,256,372,349,331,331,320,307,trophies
MAMMALIA,Primates,Cercopithecidae,Papio,Papio anubis,,TRO,0,0,0,0,0,0,0,17,3,8,23,19,9,15,3,30,26,23,32,35,18,40,38,31,53,32,52,55,56,58,42,46,44,68,82,49,59,50,46,36,trophies
ACTINOPTERYGII,Acipenseriformes,Acipenseridae,Acipenser,Acipenseriformes,KIL,CAV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49917.938,70390.672,67676.296,55762.536,23205.013,14448.488,16498.403,17651.493,7502.8055,3081.686,8562.781,6375.19038,9389.85162,10949.25041,13684.56064,15127.81078,16162.94038,caviar
