Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Full term name
REPTILIA,Sauria,Varanidae,Varanus,Varanus niloticus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,51552,178637,198434,314792,563480,0,659568,944429,2137446,993881,571152,539495,918765,679472,516531.5,539842,556973,583915,534675,451595.5,278601.5,197281,200254,157418,215073,149017,75759,170741,167377,146576,130691,89502,83783,82051,83098,56361,54111,59455,leather products & items
MAMMALIA,Carnivora,Felidae,Panthera,Panthera pardus,,PLA+SKI,0,0,0,0,0,8,23,3,2,12,11,13,7,16,5,6,2,6,6,6,7,9,8,3,4,2,4,3,3,6,3,4,3,10,0,0,0,0,1,1,plates & skins
REPTILIA,Crocodylia,Alligatoridae,Alligator,Alligator mississippiensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,268,918,1444,4671,5297,9817,13723,17262,24377,30987,42803.5,36012,48757.5,90697.5,124562,146889.5,153532.5,157008,264416,348911,303834,354375,357012,366279,438709,497196,515718,408786,316650,182963.5,221005,258160.5,255009.7,249611.5,255392.5,leather products & items
REPTILIA,Serpentes,Pythonidae,Python,Python reticulatus,,BEL+GAR+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,8415,20200,35215,70255,122735,63816,126951,367749,384708,253118,249226,121177,75602,53837.5,30478,25674.5,27197.5,45966,48175,43115,34167,61188,95879,287720,64684,55085,61176,86950,211006,173462,131535,160063,145759,202710.2,208783.01,214377.5,168554.5,152637,leather products & items
MAMMALIA,Carnivora,Felidae,Leopardus,Leopardus pardalis,,SKI,0,0,0,0,0,39,87,1,16,4,10,16,13,29,27,0,1,12,15,12,10,12,5,7,5,2,6,2,7,5,3,1,1,0,0,0,0,0,0,0,skins
MAMMALIA,Carnivora,Felidae,Lynx,Lynx rufus,,SKI+SKP,0,0,679,3932,2731,1867,4154,678,2899,4067,10286,2984,3260,5149,1680,3678,3165,13319,6864,6036,693,12480,4824,8376,6065,3802,6354,1379,2310,5312,3511,5965,10461,8815,6188,7885,12281,8921,13716,3080,skins & skin pieces
REPTILIA,Serpentes,Pythonidae,Python,Python sebae,,SID+SKD+SKI+SKP,0,0,0,8,62,32,583,40,124,264,385,455,2955,14256,7464,2069,913,517,2151,494,485,313,891,1402,1732,225,1463,33,1,9,80,101,13,0,2,10,1,235,151,0,"sides, skins & skin pieces"
MAMMALIA,Artiodactyla,Bovidae,Damaliscus,Damaliscus pygargus pygargus,,TRO,0,0,0,0,0,3,4,2,11,11,30,27,26,35,24,14,25,35,45,35,50,51,50,46,68,66,87,100,76,71,68,91,96,103,127,63,88,99,95,60,trophies
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,,BOD,0,0,0,0,0,60,46,35,55,0,0,0,2,8,88,2,1,10,16,9,36,78,14,132,96,46,92,31,143,98,24,105,22,9,0,0,0,0,0,0,bodies
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,,LIV,0,0,5487,47770,36148,54538,54492,39181,41322,36787,57112,27785,36341,85390,142882,224969,251483,454172,766965,623245,1137076,931296,598183,385951,400855,415212,532273,424824,363088,400912,304959,230957,198780,152103,118848,119798,95166,90962,80273,55031,live
